session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,First Language,Fluent languages,Nationality,Sex,Student Status
604dec242b4a4ea55790574b,5f6b8dc2c1830a0bd89748f3,APPROVED,2021-03-14 10:57:40.686000,2021-03-14 11:10:59.880000,799.194,20,51,0,100,2021-03-14 11:30:04.918000,327BD730,Poland,Poland,Unemployed (and job seeking),DATA EXPIRED,"English, Polish",Poland,Female,Yes
604dec53fcac0b82cb3be074,601373818ca6a9233b480a3a,APPROVED,2021-03-14 10:58:29.757000,2021-03-14 11:13:57.241000,927.484,21,27,0,100,2021-03-14 11:30:42.625000,327BD730,"Venezuela, Bolivarian Republic of",Portugal,Unemployed (and job seeking),,"English, Portuguese, Spanish",Portugal,Male,Yes
604dec6867c9f674add5d7ab,601ddab3d1b8f21ea2f22865,RETURNED,2021-03-14 10:58:48.497000,,4315850.446641,18,17,1,99,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
604decb4f4645d2cdb5cd103,5e8ca8db47db8f0519098266,APPROVED,2021-03-14 11:00:09.059000,2021-03-14 11:12:17.316000,728.257,22,72,2,96,2021-03-14 11:31:32.976000,327BD730,Portugal,Portugal,Other,Portuguese,"English, Portuguese",Portugal,Female,Yes
604decd6102f1609c74461ca,5fe260f3e14422dd378f1a62,APPROVED,2021-03-14 11:00:53.271000,2021-03-14 11:13:51.721000,778.45,20,18,0,100,2021-03-14 11:32:22.780000,327BD730,Sweden,Sweden,Part-Time,,"English, Swedish",Sweden,Male,
604decded87fbab34459f0ec,6040d72da487f5368a2eeddb,RETURNED,2021-03-14 11:00:48.363000,,4315730.608302,19,3,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
604decf837347f82b72e2bb6,5eef8aa4039a790817217ba3,REJECTED,2021-03-14 11:01:17.416000,2021-03-14 11:05:52.041000,274.625,19,44,3,93,2021-03-14 11:33:50.466000,NOCODE,Italy,Italy,Unemployed (and job seeking),Italian,"English, French, Italian, Spanish",Italy,Female,Yes
604ded06815fbed53b9692c2,5fd73d274ea4626dde59f11d,RETURNED,2021-03-14 11:01:36.066000,,4315682.914383,22,24,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
604ded249d05ea8d59b4f251,5ccf6e4c222373001912f644,RETURNED,2021-03-14 11:12:00.018000,,4315058.962472,20,162,2,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
604ded4f6a9ada86ef0ee9c9,5ff767b12e30bf422b3722d9,APPROVED,2021-03-14 11:02:39.247000,2021-03-14 11:17:05.458000,866.211,25,37,0,100,2021-03-14 11:39:54.530000,327BD730,Spain,Spain,Full-Time,,"Catalan, English, Spanish",Spain,Male,No
604ded58fd946e7f670940f0,5f69e9885536e4000a733f63,TIMED-OUT,2021-03-14 11:03:37.449000,,4315561.539909,19,1,0,100,,,Slovenia,Slovenia,Unemployed (and job seeking),,"Croatian, English, Dutch, Slovenian",Slovenia,Male,Yes
604ded809496bc7f533a1418,601b4c26e9531b5069920cc9,APPROVED,2021-03-14 11:03:36.254000,2021-03-14 11:18:48.771000,912.517,21,47,0,100,2021-03-14 11:40:35.033000,327BD730,Portugal,Portugal,Other,,"English, Portuguese, Spanish",Portugal,Male,Yes
604ded84dd5cbd82c9b6faef,5f77909866be1b30356654c1,APPROVED,2021-03-14 11:03:39.137000,2021-03-14 11:19:42.675000,963.538,23,42,1,97,2021-03-14 11:40:51.133000,327BD730,Israel,Israel,Part-Time,DATA EXPIRED,"Hebrew, English",Israel,Female,Yes
604dedbb33898ecd7048bc4a,5edb9139dc4bc502f26c4019,RETURNED,2021-03-14 11:04:27.737000,,4315511.2821,20,67,1,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
604deddb526893a1e0850424,5fe71eaf2fd45c07e8d9b793,APPROVED,2021-03-14 11:04:59.644000,2021-03-14 11:22:48.829000,1069.185,18,95,2,97,2021-03-14 11:41:38.078000,327BD730,Nigeria,United States,Other,DATA EXPIRED,English,Nigeria,Male,Yes
604dede918721eae3396cbfd,5ef60100939d49285b4c2003,APPROVED,2021-03-14 11:05:13.856000,2021-03-14 11:23:21.039000,1087.183,21,95,0,100,2021-03-14 11:43:47.940000,327BD730,Poland,Poland,Other,Polish,"Polish, English",Poland,Male,Yes
604dedf54dadee3f9ad6fd9e,5d925635ee7d94001a5f7bad,APPROVED,2021-03-14 11:05:25.948000,2021-03-14 11:22:31.552000,1025.604,19,18,0,100,2021-03-14 11:44:06.960000,327BD730,Estonia,Estonia,Other,Estonian,"English, Estonian",Estonia,Male,No
604dedf942f4783f2578bd6a,5f5952c42e55b5195703e5de,APPROVED,2021-03-14 11:06:07.447000,2021-03-14 11:24:07.542000,1080.095,24,92,1,100,2021-03-14 11:45:06.276000,327BD730,Greece,Greece,Full-Time,DATA EXPIRED,"Albanian, Armenian, English, French, German, Greek, Italian, Portuguese, Spanish, Turkish",Greece,Male,Yes
604dedf9a68fe1d10787d758,5ec4e27a306f253d7e5e5565,APPROVED,2021-03-14 11:05:29.631000,2021-03-14 11:24:14.282000,1124.651,20,112,0,100,2021-03-14 11:44:22.781000,327BD730,Estonia,Estonia,Unemployed (and job seeking),Estonian,"Estonian, English, Russian",Estonia,Male,Yes
604dee12c29e545a6175dccc,6004121207eaeb51c23d8b93,APPROVED,2021-03-14 11:06:04.139000,2021-03-14 11:18:33.355000,749.216,22,27,0,100,2021-03-14 11:44:51.229000,327BD730,Poland,Poland,Full-Time,,"English, Polish, Russian",Poland,Female,Yes
604dee1b2413aa5c47825a59,5e6d09e57958b2000854edc9,APPROVED,2021-03-14 11:06:08.382000,2021-03-14 11:17:09.469000,661.087,22,50,2,96,2021-03-14 11:49:44.394000,327BD730,Poland,Poland,Unemployed (and job seeking),Polish,"English, Swedish, Spanish, Polish, Japanese, German",Poland,Female,Yes
604dee35798236760d38cdac,6046740c46c42f05d552e99e,RETURNED,2021-03-14 11:06:32.988000,,4315386.100968,21,22,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
604dee37bdc3d18aa0e363e0,5eab2033f0b5cc0d9f44331d,REJECTED,2021-03-14 11:06:31.078000,2021-03-14 11:31:50.939000,1519.861,19,86,3,97,2021-03-14 11:47:58.240000,327BD730,Poland,Poland,Full-Time,Polish,"English, Polish",Poland,Male,Yes
604dee3fd1da9acb7c70c173,5c93fd66503aea0001360bfd,RETURNED,2021-03-14 11:06:42.213000,,4315376.884497,23,137,3,98,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
604dee59d4896c46066f4c0e,5bb8b4ce07378900018ee311,APPROVED,2021-03-14 11:16:18.998000,2021-03-14 11:34:47.058000,1108.06,21,235,2,99,2021-03-14 12:10:30.249000,327BD730,Poland,Poland,Unemployed (and job seeking),Polish,"English, Polish",Poland,Female,Yes
604dee5d2415f684ff68d8d6,5f34d671952faa402de77cdc,RETURNED,2021-03-14 11:07:12.506000,,4315346.600091,22,63,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
