StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,0,1,2,3,4,5,6,prolific_pid
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"Please fill in your ProlificID, such that we can compare the survey to the test results","Did you find the instructions at the beginning of the experiment clear? If not, what was unclear?",What do you think the experiment was about?,"What did you rate according to? What things did you take into  

account in your decision?",How did you decide on your rating scores? How did you select the numbers?,Did your rating strategy change throughout the experiment? If so in what way?,Any other comments?,prolific_pid
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID9_TEXT""}","{""ImportId"":""QID3_TEXT""}","{""ImportId"":""QID4_TEXT""}","{""ImportId"":""QID5_TEXT""}","{""ImportId"":""QID6_TEXT""}","{""ImportId"":""QID7_TEXT""}","{""ImportId"":""QID8_TEXT""}","{""ImportId"":""prolific_pid""}"
18/03/2021 08:26,18/03/2021 08:26,IP Address,82.72.116.233,100,15,True,18/03/2021 08:26,R_1mxcrjjYU8vuWzj,,,,,53.19549561,6.573196411,anonymous,EN,,"It was super unclear, blah blah blahblah",nah,,,,,
25/03/2021 05:07,25/03/2021 05:08,IP Address,82.72.116.233,100,32,True,25/03/2021 05:08,R_DAGYsSbnzvRyoLf,,,,,53.19549561,6.573196411,anonymous,EN,,"Yes, super clear",slkjdaf,,,,,
29/03/2021 05:45,29/03/2021 05:48,IP Address,217.93.169.183,100,156,True,29/03/2021 05:48,R_0JwBPYEGrzOL7dD,,,,,48.55290222,8.977294922,anonymous,EN,,a,a,a,a,a,a,
31/03/2021 07:12,31/03/2021 07:14,IP Address,2.222.54.51,100,94,True,31/03/2021 07:14,R_10SDZo2Mr1E88JI,,,,,51.55540466,0.646606445,anonymous,EN,,"not clear, i didn't understand what i needed to do",honestly no idea,"things i had seen play as outcomes, guessing ","total guess, factored in the distance between each object to the diamond or dig symbol","a little, as i tried to work out what i needed to do",,
31/03/2021 07:11,31/03/2021 07:15,IP Address,78.10.32.198,100,258,True,31/03/2021 07:15,R_3kmMlrxWr0z4AH6,,,,,50.83810425,16.49000549,anonymous,EN,,They were clear,To see how I connect certain things and what the outcome would be,I was raiting according to the clues,I was selecting numbers to the clues because I thought that it would be the correct likelihood,It did not change ,,
31/03/2021 07:18,31/03/2021 07:21,IP Address,89.229.87.92,100,177,True,31/03/2021 07:21,R_1OK36cHrZUN5oPz,,,,,53.43249512,14.52130127,anonymous,EN,,"No, at first I didn't know what to do",Trying to guess the best combination to find a teasure,The frequency of findind diamonds with mixed clues,The probability to find a diamond,"Yes, i didn't know what to do with 'new' clues, like other insect",no,
31/03/2021 07:19,31/03/2021 07:22,IP Address,2.86.198.143,100,156,True,31/03/2021 07:22,R_3jVu6lKdUKDif6k,,,,,37.98420715,23.73530579,anonymous,EN,,yes,finding materials,elements and their positions,treasures and the positions of the elements,yes it changed,no,
31/03/2021 07:22,31/03/2021 07:22,IP Address,89.229.87.92,100,11,True,31/03/2021 07:22,R_1mCuGJJn20oDNuR,,,,,53.43249512,14.52130127,anonymous,EN,,.,.,.,.,.,.,
31/03/2021 07:18,31/03/2021 07:22,IP Address,95.95.5.244,100,228,True,31/03/2021 07:22,R_2eRVdNjUhD91Cok,,,,,38.62710571,-9.038497925,anonymous,EN,,Yes,Relating the clues to the chance of finding an object.,How many times i found a diamond when a certain object showed up. ,"I decided acording to the number of times i had an item show up so: 1- none, 5-50/50, and 9-100%.",No,No,
