session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,First Language,Fluent languages,Nationality,Sex,Student Status,
606471c9ced7013adc40214c,5ec7ec8d0125920a254a6cfa,APPROVED,57:48.6,14:12.4,983.771,25,107,0,100,47:40.7,NOCODE,United Kingdom,United Kingdom,Part-Time,English,English,United Kingdom,Female,No,
6064722caaeff95bc5cb4c8d,5ffc8a4990ccb70e106b02b0,APPROVED,59:26.2,17:19.1,1072.833,20,9,0,100,53:34.6,NOCODE,Poland,Poland,Unemployed (and job seeking),,"English, Polish",Poland,Female,No,
606472665a1ec1ad4ad8bd73,5ffa1ea174ea4b3b304bef6a,APPROVED,00:22.7,22:43.3,1340.597,23,33,0,100,49:20.4,NOCODE,Greece,Greece,Part-Time,,"Greek, English",Greece,Male,Yes,
606472770d19cc9761d2ffa2,60021cc6d5be39201d34f6bf,APPROVED,00:39.9,32:17.3,1897.363,24,53,1,99,49:40.1,NOCODE,Iran,Hungary,Unemployed (and job seeking),DATA EXPIRED,"Chinese, English, Farsi, French, German, Hungarian, Italian, Japanese, Pashto, Portuguese, Russian, Spanish, Mandarin, Punjabi, Gujarati, Arabic, Dutch",Iran,Male,Yes,
6064728e3e50772a1ea50a69,5bc79f652885710001a0e82a,APPROVED,01:04.5,22:43.3,1298.728,22,56,0,100,51:08.2,NOCODE,Poland,Poland,"Not in paid work (e.g. homemaker', 'retired or disabled)",Polish,"English, Polish",Poland,Male,Yes,
606472ab4a513e2c4347aa00,5cf9a6420a472100181f587b,APPROVED,01:33.6,23:01.8,1288.142,22,197,0,100,51:35.5,NOCODE,Portugal,Portugal,Unemployed (and job seeking),Portuguese,"Portuguese, English",Portugal,Male,Yes,
6064739398622870ba0fc2fb,5f578fcd87cb442352a8ac79,APPROVED,05:23.3,29:51.7,1468.413,21,59,0,100,51:52.2,NOCODE,Greece,Greece,Other,DATA EXPIRED,"English, Greek",Greece,Male,Yes,
606475aeee28c606445e0aea,5f7236036a261413f61688df,APPROVED,14:29.7,32:27.6,1077.909,19,72,0,100,52:05.6,NOCODE,Poland,Poland,DATA EXPIRED,DATA EXPIRED,"Polish, English",Poland,Male,Yes,
606485947905274a122cc688,5db8b0df497a6e000afdf49a,APPROVED,22:15.5,22:26.6,11.158,21,38,2,93,38:30.9,95BC0F2A,United Kingdom,United Kingdom,DATA EXPIRED,DATA EXPIRED,English,United Kingdom,Female,Yes,
6066e9e8b88d430fe3e60082,60001fed22d8750008f1848c,APPROVED,55:08.1,20:46.9,1538.784,20,65,0,100,52:26.4,NOCODE,Czech Republic,Czech Republic,Part-Time,DATA EXPIRED,"Czech, English, Slovak",Czech Republic,Female,Yes,
,,,,,,21.7,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,UK,2,,,Student,8,
,,,,,Female,4,,,,,,,,Poland,3,,,Not,2,
,,,,,Male,6,,,,,,,,Greece,2,,,Of which,Unemployed,1
,,,,,,,,,,,,,,Iran,1,,,,Par time,1
,,,,,,,,,,,,,,Portugal,1,,,,,
,,,,,,,,,,,,,,Czech,1,,,,,
,,,,,,,,,,,,,,,10,,,,,
