StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,0,1,2,3,4,5,6,prolific_pid
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"Please fill in your ProlificID, such that we can compare the survey to the test results","Did you find the instructions at the beginning of the experiment clear? If not, what was unclear?",What do you think the experiment was about?,"What did you rate according to? What things did you take into  

account in your decision?",How did you decide on your rating scores? How did you select the numbers?,Did your rating strategy change throughout the experiment? If so in what way?,Any other comments?,prolific_pid
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID9_TEXT""}","{""ImportId"":""QID3_TEXT""}","{""ImportId"":""QID4_TEXT""}","{""ImportId"":""QID5_TEXT""}","{""ImportId"":""QID6_TEXT""}","{""ImportId"":""QID7_TEXT""}","{""ImportId"":""QID8_TEXT""}","{""ImportId"":""prolific_pid""}"
2021-04-28 03:08:06,2021-04-28 03:08:19,IP Address,82.72.116.233,100,13,True,2021-04-28 03:08:19,R_cXSeW3VsKgISuTn,,,,,53.19549560546875,6.5731964111328125,anonymous,EN,hi,hi,hi,hi,hi,h,hi,
2021-04-28 03:26:24,2021-04-28 03:28:07,IP Address,193.144.61.240,100,102,True,2021-04-28 03:28:07,R_3snv8a29UHFuWHJ,,,,,43.36749267578125,-8.3968963623046875,anonymous,EN,5f5176476494183c40718758,"Yes, very clear",About the allergies,My knowledge about the food,Analizing the data,No,,
2021-04-28 03:28:27,2021-04-28 03:31:21,IP Address,77.54.142.180,100,174,True,2021-04-28 03:31:21,R_1mUaHgQetO3ZHVX,,,,,41.145904541015625,-8.6168975830078125,anonymous,EN,602fc5844525b3d343303a2a,Yes it was clear but when one of the foods was missing I was unsure if I had to give it 0 or grade it too.,I'm not sure maybe see what foods people think are more likely to cause an allergic reaction.,Foods that are common to provoke alergic reactions and the instructions given.,I selected the numbers by thinking which foods usually cause more allergic reactions.,Yes in the beggining I read the instructions and follow them in the end it was more my personal experiences.,No,
2021-04-28 03:30:44,2021-04-28 03:33:18,IP Address,37.30.19.9,100,154,True,2021-04-28 03:33:18,R_pAeMPbjJp4u4YXT,,,,,52.4297027587890625,16.9141998291015625,anonymous,EN,602e3452f1c6b793faa7bcdd,Clear,Predicting possibilty being allergic of certain foods,Basic knowlage,Simple prediction,Not really,No,
2021-04-28 03:30:22,2021-04-28 03:33:35,IP Address,87.3.57.169,100,192,True,2021-04-28 03:33:35,R_2CstP3qbEQgQsmr,,,,,44.488006591796875,11.3751983642578125,anonymous,EN,5c879642f8e57d00168a286e,yes the instructions were clear,people's prediction skills,I rated it based on my personal experience and knowledge and what I thought was most likely,I decided the scores on the basis of my statistical perception of an actual possibility of occurrence of the case described,no my evaluation strategy hasn't changed,,
2021-04-28 03:32:21,2021-04-28 03:34:40,IP Address,188.147.55.140,100,138,True,2021-04-28 03:34:40,R_wZgY8Ppg41Xta6J,,,,,50.26300048828125,19.024505615234375,anonymous,EN,5ed12d21e8cebc04aefac77c,Everything was clear,How someone without a knowledge would identify alergic reaction,My experience and logic,I decided by thinking how strong reaction could have been depending on the food,It changed with every new objective,,
2021-04-28 03:35:42,2021-04-28 03:38:25,IP Address,83.27.23.236,100,163,True,2021-04-28 03:38:25,R_phDsO0gOIatIZyh,,,,,50.0565032958984375,19.98150634765625,anonymous,EN,60815ba971b96b9204d01141,It was clear,Alergy contected with food,My experiance and knowledge,Intuition,"No, I didn't",,
2021-04-28 03:34:41,2021-04-28 03:39:14,IP Address,88.15.109.1,100,272,True,2021-04-28 03:39:14,R_3n7177MUOfHaf6j,,,,,41.3954010009765625,2.204803466796875,anonymous,EN,5f708631500db165bf081e04,The isntructions were very clear.,"To test out the general knowledge about alergies ","I gave foods that I know people have tendencies to have reactions to, a higher rate ","At first I juste guessed, but the after a few ratings, I stared to compare the previous annotations with the patients reactios to each food.","My strategy was influenced by my previous ratings, but It mainly stayed the same.",,
