A;A1;A2;A3;B;B1;B2;B3;Outcome;NextButton;RatingA;RatingB;RatingX;Stim1;Stim2;Trial;X;X1;X2;X3;block1;block2;block3;count_Cond000Outcome;count_Cond000Ratings;count_Cond000Sequence;count_Cond000Stim;count_Cond050Outcome;count_Cond050Rating;count_Cond050Sequence;count_Cond050Stim;count_Cond100Outcome;count_Cond100Rating;count_Cond100Sequence;count_Cond100Stim;count_Conditions_Stimuli;count_DoneFirstBlock;count_DoneSecondBlock;count_End;count_Explanation;count_Introduction;count_NewStim;count_OldStim;count_Stimuli;count_Testphaseintro;count__000;count__050;count__100;count_experiment;count_main_sequence;count_test_sequence;count_testing_phase;count_training_phase;pos1;pos1X;pos1Y;pos2;pos2X;pos2Y;subject_nr;subject_parity;time_Cond000Outcome;time_Cond000Ratings;time_Cond000Sequence;time_Cond000Stim;time_Cond050Outcome;time_Cond050Rating;time_Cond050Sequence;time_Cond050Stim;time_Cond100Outcome;time_Cond100Rating;time_Cond100Sequence;time_Cond100Stim;time_Conditions_Stimuli;time_DoneFirstBlock;time_DoneSecondBlock;time_End;time_Explanation;time_Introduction;time_NewStim;time_OldStim;time_Testphaseintro;time__000;time__050;time__100;time_experiment;time_main_sequence;time_test_sequence;time_testing_phase;time_training_phase
[A1];Feather.png;Log.png;Puddle.png;[B1];Mouse.png;Footprints.png;Acorn.png;Diamond.png;no;1;2;3;[A1];[X1];1;[X1];BlackBerries.png;Flower.png;Beetle.png;0;1;2;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0;0;0;0;NA;NA;NA;0;0;0;0;0;0;NA;0;0;[0, 4];0;4;[2, 2];2;2;1;odd;1.520.413.870.000.080;1.520.415.150.000.000;1.520.406.709.999.950;15.204.121.799.999.400;NA;NA;NA;NA;NA;NA;NA;NA;5.295.748.200.000.160;NA;NA;NA;8.830.929.499.999.910;529.974.410.000.068;NA;NA;NA;9.583.899.299.999.750;NA;NA;529.550.879.999.988;958.371.199.999.965;NA;NA;9.513.864.500.000.630
[A1];Feather.png;Log.png;Puddle.png;[B1];Mouse.png;Footprints.png;Acorn.png;NoDiamond.png;yes;2;3;4;[B1];[X1];2;[X1];BlackBerries.png;Flower.png;Beetle.png;0;1;2;1;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0;0;0;0;NA;NA;NA;0;0;0;0;0;0;NA;0;0;[2, 11];2;11;[0, 0];0;0;1;odd;20.957.581.200.000.200;2.095.759.419.999.920;20.957.464.200.000.600;2.095.756.210.000.030;NA;NA;NA;NA;NA;NA;NA;NA;5.295.748.200.000.160;NA;NA;NA;8.830.929.499.999.910;529.974.410.000.068;NA;NA;NA;9.583.899.299.999.750;NA;NA;529.550.879.999.988;958.371.199.999.965;NA;NA;9.513.864.500.000.630
[A1];Feather.png;Log.png;Puddle.png;[B1];Mouse.png;Footprints.png;Acorn.png;Diamond.png;yes;3;4;5;[B1];[X1];3;[X1];BlackBerries.png;Flower.png;Beetle.png;0;1;2;2;2;2;2;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0;0;0;0;NA;NA;NA;0;0;0;0;0;0;NA;0;0;[2, 0];2;0;[0, 1];0;1;1;odd;26.612.243.199.999.200;2.661.225.849.999.930;266.121.746.000.008;2.661.222.640.000.050;NA;NA;NA;NA;NA;NA;NA;NA;5.295.748.200.000.160;NA;NA;NA;8.830.929.499.999.910;529.974.410.000.068;NA;NA;NA;9.583.899.299.999.750;NA;NA;529.550.879.999.988;958.371.199.999.965;NA;NA;9.513.864.500.000.630
[A1];Feather.png;Log.png;Puddle.png;[B1];Mouse.png;Footprints.png;Acorn.png;NoDiamond.png;yes;4;5;6;[A1];[X1];4;[X1];BlackBerries.png;Flower.png;Beetle.png;0;1;2;3;3;3;3;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0;0;0;0;NA;NA;NA;0;0;0;0;0;0;NA;0;0;[2, 12];2;12;[0, 9];0;9;1;odd;32.401.135.899.999.600;3.240.114.840.000.020;32.401.065.500.000.100;3.240.111.969.999.990;NA;NA;NA;NA;NA;NA;NA;NA;5.295.748.200.000.160;NA;NA;NA;8.830.929.499.999.910;529.974.410.000.068;NA;NA;NA;9.583.899.299.999.750;NA;NA;529.550.879.999.988;958.371.199.999.965;NA;NA;9.513.864.500.000.630
[A1];Feather.png;Log.png;Puddle.png;[B1];Mouse.png;Footprints.png;Acorn.png;NoDiamond.png;yes;5;6;7;[A1];[X1];5;[X1];BlackBerries.png;Flower.png;Beetle.png;0;1;2;4;4;4;4;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0;0;0;0;NA;NA;NA;0;0;0;0;0;0;NA;0;0;[0, 8];0;8;[2, 0];2;0;1;odd;3.835.535.540.000.090;3.835.536.800.000.040;383.552.350.000.009;3.835.533.860.000.030;NA;NA;NA;NA;NA;NA;NA;NA;5.295.748.200.000.160;NA;NA;NA;8.830.929.499.999.910;529.974.410.000.068;NA;NA;NA;9.583.899.299.999.750;NA;NA;529.550.879.999.988;958.371.199.999.965;NA;NA;9.513.864.500.000.630
[A1];Feather.png;Log.png;Puddle.png;[B1];Mouse.png;Footprints.png;Acorn.png;Diamond.png;yes;6;7;8;[B1];[X1];6;[X1];BlackBerries.png;Flower.png;Beetle.png;0;1;2;5;5;5;5;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0;0;0;0;NA;NA;NA;0;0;0;0;0;0;NA;0;0;[2, 2];2;2;[0, 5];0;5;1;odd;44.777.220.100.000.700;4.477.723.250.000.050;4.477.715.159.999.930;4.477.720.419.999.960;NA;NA;NA;NA;NA;NA;NA;NA;5.295.748.200.000.160;NA;NA;NA;8.830.929.499.999.910;529.974.410.000.068;NA;NA;NA;9.583.899.299.999.750;NA;NA;529.550.879.999.988;958.371.199.999.965;NA;NA;9.513.864.500.000.630
[A1];Feather.png;Log.png;Puddle.png;[B1];Mouse.png;Footprints.png;Acorn.png;Diamond.png;yes;7;8;0;[A1];[X1];7;[X1];BlackBerries.png;Flower.png;Beetle.png;0;1;2;6;6;6;6;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0;0;0;0;NA;NA;NA;0;0;0;0;0;0;NA;0;0;[2, 12];2;12;[0, 1];0;1;1;odd;5.084.985.819.999.920;50.849.871.399.999.700;5.084.978.609.999.960;5.084.984.149.999.940;NA;NA;NA;NA;NA;NA;NA;NA;5.295.748.200.000.160;NA;NA;NA;8.830.929.499.999.910;529.974.410.000.068;NA;NA;NA;9.583.899.299.999.750;NA;NA;529.550.879.999.988;958.371.199.999.965;NA;NA;9.513.864.500.000.630
[A1];Feather.png;Log.png;Puddle.png;[B1];Mouse.png;Footprints.png;Acorn.png;NoDiamond.png;yes;8;0;1;[B1];[X1];8;[X1];BlackBerries.png;Flower.png;Beetle.png;0;1;2;7;7;7;7;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0;0;0;0;NA;NA;NA;0;0;0;0;0;0;NA;0;0;[0, 10];0;10;[2, 6];2;6;1;odd;579.712.141;57.971.227.300.000.400;5.797.114.639.999.920;579.711.972.999.994;NA;NA;NA;NA;NA;NA;NA;NA;5.295.748.200.000.160;NA;NA;NA;8.830.929.499.999.910;529.974.410.000.068;NA;NA;NA;9.583.899.299.999.750;NA;NA;529.550.879.999.988;958.371.199.999.965;NA;NA;9.513.864.500.000.630
[A1];Feather.png;Log.png;Puddle.png;[B1];Mouse.png;Footprints.png;Acorn.png;Diamond.png;yes;0;1;2;[B1];[X1];9;[X1];BlackBerries.png;Flower.png;Beetle.png;0;1;2;8;8;8;8;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0;0;0;0;NA;NA;NA;0;0;0;0;0;0;NA;0;0;[0, 5];0;5;[2, 9];2;9;1;odd;6.841.342.819.999.950;6.841.344.050.000.040;6.841.336.059.999.950;6.841.341.250.000.000;NA;NA;NA;NA;NA;NA;NA;NA;5.295.748.200.000.160;NA;NA;NA;8.830.929.499.999.910;529.974.410.000.068;NA;NA;NA;9.583.899.299.999.750;NA;NA;529.550.879.999.988;958.371.199.999.965;NA;NA;9.513.864.500.000.630
[A1];Feather.png;Log.png;Puddle.png;[B1];Mouse.png;Footprints.png;Acorn.png;NoDiamond.png;yes;2;2;2;[A1];[X1];10;[X1];BlackBerries.png;Flower.png;Beetle.png;0;1;2;9;9;9;9;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0;0;0;0;NA;NA;NA;0;0;0;0;0;0;NA;0;0;[0, 9];0;9;[2, 0];2;0;1;odd;7.416.837.979.999.940;7.416.839.230.000.000;7.416.831.979.999.910;7.416.836.420.000.070;NA;NA;NA;NA;NA;NA;NA;NA;5.295.748.200.000.160;NA;NA;NA;8.830.929.499.999.910;529.974.410.000.068;NA;NA;NA;9.583.899.299.999.750;NA;NA;529.550.879.999.988;958.371.199.999.965;NA;NA;9.513.864.500.000.630
